week_index,group,alpha,beta_mkt,beta_hml,beta_smb,sigma,week_return1,week_return4,week_return13
6,20,-0.000211703,3.085274477,5.072554766,4.964835691,0.055317735,1.069537627,1.06962938,1.075758272
6,21,-0.00041423,0.938097758,1.150988948,0.516674727,0.018883483,1.029156023,1.041078267,1.035872742
6,22,-0.000543375,1.143716757,0.658558083,-1.023491382,0.020659173,1.053871603,1.04888934,1.043743194
6,23,-0.000930919,0.778447986,0.947252182,-0.32413422,0.017018983,0.972782419,0.982932415,0.987355941
6,24,-0.004957596,1.452763004,1.624580976,1.330885104,0.02246676,1.064795311,1.056476457,1.060417918
6,25,-0.000217479,9.26E-06,-0.000310038,-0.000187992,0.000483859,0.997295015,0.989775017,0.995196303
6,26,-0.018154108,2.185122249,2.316995818,2.7865713,0.033424182,1.083154262,1.073770506,1.062750847
6,27,-0.074279924,0.409922835,0.422706722,0.299895975,0.028292497,1.166080373,1.119333494,1.103178028
6,28,-0.016756327,0.027967433,0.04052157,0.03936068,0.006128275,0.997329719,1.009856486,1.009496172
6,29,-0.048814435,0.220864017,0.181145495,0.109392343,0.016573677,1.039263828,1.065590564,1.028254438
6,30,-0.031506111,0.065610366,0.084486808,0.038179357,0.010221833,1.002109282,1.003999375,1.000810986
7,1,0.083612579,2.855817963,2.357501785,3.603676442,0.242902974,0.873936101,0.826263787,0.853382288
7,2,0.014031891,0.989766589,-1.115691134,-1.725067779,0.048277906,0.980187766,0.973360679,0.98976397
7,3,0.011596255,2.06354842,4.133867325,2.354740673,0.042926429,0.913967738,0.92435089,0.931956347
7,4,0.018350624,1.913561792,-3.046362205,0.560188381,0.077588314,0.85137297,0.825251745,0.818871534
7,5,0.00857566,0.789816087,1.313715448,0.394988619,0.036803502,0.964643681,0.958016177,0.957290957
7,6,0.008243727,-0.034205151,0.260039816,0.126075313,0.040404753,0.994272694,0.98215336,0.986896774
7,7,0.016542602,4.669580923,6.519900353,7.169555695,0.085549732,0.741720469,0.801263365,0.799929811
7,8,0.006297383,1.261237851,2.142814327,1.094913706,0.033160578,0.946453769,0.947724017,0.949550772
7,9,0.009807694,-0.871942094,-0.958223022,-0.759140012,0.06052352,0.990605275,0.962789261,0.959607529
7,10,0.005769728,1.887636207,-1.616885896,1.199260133,0.043229258,0.844812339,0.849034896,0.844683086
7,11,0.002925183,-0.123797242,-0.383152552,-0.053144019,0.022697966,1.012728404,0.998963256,0.994495913
7,12,0.003322514,0.18828485,0.29878847,0.203018004,0.026551185,0.959306156,0.962409334,0.96539878
7,13,0.002433748,1.077293905,1.819922004,1.238401166,0.024667308,0.966272729,0.970390855,0.964206639
7,14,0.010187436,-0.141626424,0.234262084,0.167760355,0.111950804,0.84532285,0.845667295,0.891948342
7,15,0.001804337,0.980162841,-1.101388092,-0.067873498,0.026748072,0.913542771,0.918234942,0.935253958
7,16,0.001735797,1.697809238,0.320698265,1.12587392,0.026715742,0.894087116,0.891391321,0.892818233
7,17,0.0050454,1.299863216,3.950930856,2.564213513,0.079969944,0.966266801,0.972915591,0.945834076
7,18,7.67E-05,0.127841227,0.097982289,0.037066579,0.009557814,1.00075103,0.993339674,0.993632533
7,19,-3.21E-05,0.678809784,1.073348425,0.273549702,0.016114942,0.996571528,0.99714131,0.996433642
7,20,-0.000541777,2.869657047,4.267045928,4.698002367,0.047965968,0.813257776,0.858880298,0.846482403
7,21,-0.000355022,0.928753492,0.305300147,-0.321421884,0.01919448,0.956030621,0.97342896,0.983480911
7,22,-0.001461912,1.37229507,0.985161572,-1.197135518,0.022796142,1.048145707,1.034644384,1.030730159
7,23,-0.001792862,0.810773494,0.821330451,-0.557632361,0.017606573,1.019176338,1.02263773,1.025630668
7,24,-0.001885659,1.04942427,0.907558963,0.71814261,0.017576967,0.971222122,0.971956806,0.964524514
7,25,-0.00021935,-1.78E-05,-0.000307389,-0.000214334,0.000481167,0.95359046,0.959060132,0.968942271
7,26,-0.024610802,1.9793244,1.853010079,2.232711034,0.029974647,0.842065498,0.851449547,0.851379887
7,27,-0.074580779,0.369082012,0.356561931,0.268343173,0.028314022,0.862644944,0.890952422,0.888780889
7,28,-0.016649852,0.03574861,0.051136411,0.045479721,0.006073707,0.971728187,0.962107395,0.970900014
7,29,-0.049626202,0.250186787,0.209935458,0.071470806,0.016420929,0.848129348,0.853590933,0.865493995
7,30,-0.031211664,0.09073011,0.112305489,0.057563472,0.010055624,0.948365585,0.923300427,0.920700227
8,1,0.072720348,3.397899264,3.630147044,3.851788025,0.231327561,1.132707983,1.10681155,1.057412178
8,2,0.011720399,2.484595506,4.880761253,2.50835924,0.039223128,1.04688433,1.041040617,1.042835084
8,3,0.011275996,1.247228611,-0.139890041,-1.529195887,0.041389221,0.973781289,0.975398327,0.982617835
8,4,0.008815303,-0.082398662,-0.537287049,-0.137455135,0.032455699,1.005590596,1.00284176,1.001015698
8,5,0.020935431,4.716634752,6.289483467,7.309409125,0.083652709,0.878981716,0.946086483,0.94435162
8,6,0.009132866,0.845652786,1.315692317,0.690394037,0.036867653,1.016414258,1.020064709,1.022096023
8,7,0.009918822,-0.108815322,0.001258872,0.018991112,0.040196042,1.031407591,1.015645382,1.011854205
8,8,0.015768535,1.753155644,-3.633250692,0.408466909,0.068083623,1.092715545,1.045691407,1.051440462
8,9,0.005881115,1.379838687,2.645255939,1.257359922,0.026134076,1.069272303,1.053100604,1.033171192
8,10,0.011900817,-0.531724028,-0.304234398,-0.195582317,0.062562437,0.972582503,0.982140403,0.981925985
8,11,0.003722342,-0.151313436,-0.275459567,-0.004753169,0.020543175,1.012628657,1.002654393,1.005713167
8,12,0.005271508,1.654407028,-1.998197253,0.715298202,0.038976002,1.128440342,1.107326349,1.100052228
8,13,0.003049164,1.312407842,-0.671982386,0.36321513,0.024628851,1.017712705,1.031288704,1.026500263
8,14,0.008059451,1.394990376,3.988487929,2.285434134,0.075230838,1.001223844,1.009699372,1.000772996
8,15,0.00737487,0.090901321,0.458854656,0.095725031,0.110857571,0.975264797,1.044363935,1.021721258
8,16,0.002598602,3.05904268,4.813374497,4.684567804,0.054259464,1.019212632,1.03246872,1.026086018
8,17,0.000808928,0.716913888,0.374360025,0.401101419,0.018539735,1.030021374,1.027885082,1.022134806
8,18,0.000607743,0.65354759,1.020337688,0.279012832,0.016591034,1.023770109,1.016756712,1.013314021
8,19,0.000192726,0.14227427,0.121635521,0.042363342,0.00941861,1.008802045,1.005843045,1.002770037
8,20,-0.000545972,0.968868224,0.364636396,-0.297879935,0.018580812,0.996870835,0.981639845,0.98256759
8,21,-0.000537777,0.62855308,0.550531795,-0.642656037,0.017582551,0.989406077,0.991663002,0.985406284
8,22,-0.000984876,1.290150378,0.889331543,-1.201873906,0.022235625,1.001760158,0.988464339,0.994148802
8,23,-0.001778552,1.507923426,1.793917343,1.493542526,0.021685926,1.020484544,1.03129748,1.046551561
8,24,-0.012737133,2.331941107,2.547636967,3.062593157,0.033810471,1.086139344,1.099203555,1.077563331
8,25,-0.000221466,0.000169928,4.42E-05,-9.95E-05,0.000474149,1.002805879,1.051365424,1.02155944
8,26,-0.037763099,0.791739785,0.753555271,0.545826752,0.017249927,1.035474499,1.017165519,1.017013836
8,27,-0.079731247,0.607219294,0.747513632,0.430737524,0.030830468,1.05893936,1.020176046,0.975466374
8,28,-0.016183569,0.056077351,0.108838338,0.065392218,0.005923992,1.05134714,1.044949438,1.028669117
8,29,-0.054035419,0.267283322,0.309529671,0.130847646,0.017988161,1.022709098,1.011360135,1.015001627
8,30,-0.02933594,0.11327447,0.170665864,0.066208024,0.009542876,0.950011813,1.00966881,1.014237312
9,1,0.063222185,3.239141795,3.717583043,3.630188494,0.221580765,0.994967648,1.112358438,1.135404386
9,2,0.00873012,1.789839959,3.584966783,1.53891164,0.033241793,0.94243264,0.943804806,0.952005354
9,3,0.019869818,4.710757483,6.297798675,7.537417647,0.08173153,1.45001819,1.397035183,1.372022797
9,4,0.012274617,-0.312870435,-0.357594043,-0.105182316,0.050997958,1.004158198,1.009281315,1.018455869
9,5,0.008559104,1.762754347,3.156302876,1.983214098,0.035668354,0.99181219,0.974715768,0.989280362
9,6,0.008566785,0.393242041,0.263287883,0.234119937,0.036411201,1.02014024,1.012691231,1.005800917
9,7,0.007576563,-0.223555219,-0.512178945,-0.329428441,0.036695978,1.026713044,1.008143409,1.004604124
9,8,0.00747487,1.162752304,0.030797579,-1.606132283,0.041376112,0.982047631,1.031090606,1.03013599
9,9,0.015296767,1.054772407,-4.09901962,-1.111287935,0.085611515,1.300678694,1.256415308,1.203007676
9,10,0.009713035,2.648363819,4.807387322,3.931418641,0.056679793,1.149241485,1.119097132,1.111962616
9,11,0.004351389,1.262415693,-1.505657998,0.086309887,0.028265443,1.110458953,1.119970666,1.114950401
9,12,0.006431658,2.057753221,-1.997095603,1.253823445,0.048549779,1.289953208,1.274541163,1.257863561
9,13,0.002908356,-0.276500025,-0.394742173,0.015324957,0.022286753,1.01540287,1.021614866,1.025147638
9,14,0.009011119,0.630007203,3.323361123,1.847986603,0.072028399,1.011121454,1.009721085,0.999659073
9,15,0.002521685,0.816792091,1.492236901,0.88279619,0.020781062,0.996824719,1.019208012,1.00316747
9,16,0.001479338,0.459680204,0.520876159,0.124799933,0.016678298,0.999040361,0.999809088,1.008073038
9,17,0.0040078,0.266699705,1.714857796,0.792022336,0.10658668,1.100582401,1.044888749,1.047362023
9,18,0.000415956,0.74656484,-0.001668177,0.284846705,0.018809983,1.038012025,1.039835228,1.029445666
9,19,0.000445268,1.544638294,1.614214271,1.507079604,0.022826937,1.064726654,1.051996472,1.064718511
